year_month,borough,borocode,sales_index,rental_index
2019-04,MN,1,1114958,3220
2019-04,BK,3,730555,2622
2019-04,QN,4,521302,2137
2019-04,NYC,,633359,2856
2019-03,MN,1,1119724,3206
2019-03,BK,3,726219,2608
2019-03,QN,4,519861,2135
2019-03,NYC,,631941,2843
2019-02,MN,1,1126016,3197
2019-02,BK,3,724570,2596
2019-02,QN,4,520093,2130
2019-02,NYC,,633449,2834
2019-01,MN,1,1130924,3192
2019-01,BK,3,721985,2592
2019-01,QN,4,518757,2128
2019-01,NYC,,632767,2830
2018-12,MN,1,1135712,3195
2018-12,BK,3,725285,2594
2018-12,QN,4,521153,2130
2018-12,NYC,,634359,2833
2018-11,MN,1,1141744,3202
2018-11,BK,3,729445,2603
2018-11,QN,4,519889,2129
2018-11,NYC,,635624,2840
2018-10,MN,1,1145045,3209
2018-10,BK,3,731076,2607
2018-10,QN,4,519651,2133
2018-10,NYC,,635575,2846
2018-09,MN,1,1148142,3213
2018-09,BK,3,730970,2610
2018-09,QN,4,520726,2133
2018-09,NYC,,636033,2849
2018-08,MN,1,1157505,3205
2018-08,BK,3,734564,2606
2018-08,QN,4,516985,2125
2018-08,NYC,,636462,2843
2018-07,MN,1,1155806,3191
2018-07,BK,3,737512,2596
2018-07,QN,4,516994,2115
2018-07,NYC,,635174,2830
2018-06,MN,1,1155017,3177
2018-06,BK,3,730688,2584
2018-06,QN,4,514512,2105
2018-06,NYC,,632507,2818
2018-05,MN,1,1158704,3158
2018-05,BK,3,727793,2571
2018-05,QN,4,515010,2096
2018-05,NYC,,632395,2802
2018-04,MN,1,1161985,3141
2018-04,BK,3,726427,2562
2018-04,QN,4,510246,2087
2018-04,NYC,,631786,2789
2018-03,MN,1,1160569,3129
2018-03,BK,3,727610,2553
2018-03,QN,4,507955,2080
2018-03,NYC,,630738,2779
2018-02,MN,1,1159051,3123
2018-02,BK,3,727743,2548
2018-02,QN,4,506631,2075
2018-02,NYC,,629752,2773
2018-01,MN,1,1166826,3119
2018-01,BK,3,730839,2550
2018-01,QN,4,504487,2076
2018-01,NYC,,631909,2772
2017-12,MN,1,1164714,3126
2017-12,BK,3,721134,2553
2017-12,QN,4,500773,2080
2017-12,NYC,,628116,2777
2017-11,MN,1,1171511,3136
2017-11,BK,3,721468,2557
2017-11,QN,4,499429,2095
2017-11,NYC,,627768,2786
2017-10,MN,1,1170852,3152
2017-10,BK,3,727013,2563
2017-10,QN,4,495730,2104
2017-10,NYC,,628318,2798
2017-09,MN,1,1171898,3161
2017-09,BK,3,728105,2570
2017-09,QN,4,495123,2119
2017-09,NYC,,628967,2807
2017-08,MN,1,1171947,3163
2017-08,BK,3,731034,2568
2017-08,QN,4,488643,2119
2017-08,NYC,,626183,2807
2017-07,MN,1,1171603,3155
2017-07,BK,3,736918,2558
2017-07,QN,4,485841,2116
2017-07,NYC,,625814,2800
2017-06,MN,1,1169223,3146
2017-06,BK,3,734264,2549
2017-06,QN,4,482427,2107
2017-06,NYC,,623636,2791
2017-05,MN,1,1163190,3134
2017-05,BK,3,729464,2540
2017-05,QN,4,479175,2099
2017-05,NYC,,621280,2780
2017-04,MN,1,1159312,3122
2017-04,BK,3,726911,2532
2017-04,QN,4,474962,2099
2017-04,NYC,,618566,2771
2017-03,MN,1,1151310,3113
2017-03,BK,3,720568,2527
2017-03,QN,4,472006,2094
2017-03,NYC,,612859,2764
2017-02,MN,1,1152876,3113
2017-02,BK,3,709979,2527
2017-02,QN,4,473312,2093
2017-02,NYC,,610678,2764
2017-01,MN,1,1158329,3117
2017-01,BK,3,709395,2529
2017-01,QN,4,474896,2086
2017-01,NYC,,611305,2766
2016-12,MN,1,1155486,3125
2016-12,BK,3,707089,2533
2016-12,QN,4,470028,2088
2016-12,NYC,,608341,2772
2016-11,MN,1,1156556,3136
2016-11,BK,3,702960,2542
2016-11,QN,4,466816,2091
2016-11,NYC,,606096,2781
2016-10,MN,1,1155310,3149
2016-10,BK,3,700573,2545
2016-10,QN,4,466451,2098
2016-10,NYC,,606071,2790
2016-09,MN,1,1155149,3157
2016-09,BK,3,701110,2548
2016-09,QN,4,462024,2098
2016-09,NYC,,605521,2796
2016-08,MN,1,1155909,3158
2016-08,BK,3,702000,2543
2016-08,QN,4,459469,2094
2016-08,NYC,,606189,2795
2016-07,MN,1,1157201,3153
2016-07,BK,3,702375,2536
2016-07,QN,4,458208,2086
2016-07,NYC,,605783,2789
2016-06,MN,1,1153065,3144
2016-06,BK,3,693231,2528
2016-06,QN,4,456506,2081
2016-06,NYC,,601081,2781
2016-05,MN,1,1147362,3132
2016-05,BK,3,689541,2520
2016-05,QN,4,455933,2072
2016-05,NYC,,600145,2771
2016-04,MN,1,1143837,3117
2016-04,BK,3,687843,2513
2016-04,QN,4,453839,2065
2016-04,NYC,,598322,2760
2016-03,MN,1,1143121,3107
2016-03,BK,3,692534,2505
2016-03,QN,4,452327,2056
2016-03,NYC,,599732,2750
2016-02,MN,1,1148521,3100
2016-02,BK,3,685084,2499
2016-02,QN,4,454555,2051
2016-02,NYC,,600407,2745
2016-01,MN,1,1150000,3100
2016-01,BK,3,687318,2500
2016-01,QN,4,450000,2050
2016-01,NYC,,600000,2745
2015-12,MN,1,1149397,3101
2015-12,BK,3,690510,2500
2015-12,QN,4,449907,2045
2015-12,NYC,,599316,2744
2015-11,MN,1,1149479,3106
2015-11,BK,3,681586,2501
2015-11,QN,4,449580,2047
2015-11,NYC,,597169,2748
2015-10,MN,1,1136692,3111
2015-10,BK,3,674999,2498
2015-10,QN,4,446486,2050
2015-10,NYC,,594229,2751
2015-09,MN,1,1135530,3111
2015-09,BK,3,677902,2497
2015-09,QN,4,444566,2048
2015-09,NYC,,594989,2750
2015-08,MN,1,1130607,3105
2015-08,BK,3,670998,2485
2015-08,QN,4,439540,2041
2015-08,NYC,,590420,2743
2015-07,MN,1,1123161,3092
2015-07,BK,3,662337,2473
2015-07,QN,4,436713,2029
2015-07,NYC,,585832,2731
2015-06,MN,1,1112614,3078
2015-06,BK,3,655219,2457
2015-06,QN,4,431833,2011
2015-06,NYC,,579329,2717
2015-05,MN,1,1105176,3059
2015-05,BK,3,651148,2442
2015-05,QN,4,428094,2003
2015-05,NYC,,576204,2701
2015-04,MN,1,1093736,3040
2015-04,BK,3,642749,2428
2015-04,QN,4,425918,1993
2015-04,NYC,,571731,2685
2015-03,MN,1,1091149,3024
2015-03,BK,3,641368,2416
2015-03,QN,4,425067,1987
2015-03,NYC,,569344,2672
2015-02,MN,1,1090247,3012
2015-02,BK,3,639569,2410
2015-02,QN,4,426370,1984
2015-02,NYC,,570073,2662
2015-01,MN,1,1093541,3001
2015-01,BK,3,627601,2404
2015-01,QN,4,424003,1978
2015-01,NYC,,567681,2654
2014-12,MN,1,1084855,2997
2014-12,BK,3,618661,2395
2014-12,QN,4,422212,1969
2014-12,NYC,,563736,2648
2014-11,MN,1,1081013,2996
2014-11,BK,3,621984,2393
2014-11,QN,4,420826,1963
2014-11,NYC,,563976,2647
2014-10,MN,1,1077624,2996
2014-10,BK,3,617290,2393
2014-10,QN,4,420942,1962
2014-10,NYC,,564449,2647
2014-09,MN,1,1074189,2992
2014-09,BK,3,611618,2393
2014-09,QN,4,419063,1955
2014-09,NYC,,562195,2644
2014-08,MN,1,1071153,2985
2014-08,BK,3,610442,2386
2014-08,QN,4,418796,1941
2014-08,NYC,,562267,2637
2014-07,MN,1,1065996,2972
2014-07,BK,3,602114,2369
2014-07,QN,4,418486,1928
2014-07,NYC,,559167,2623
2014-06,MN,1,1057673,2958
2014-06,BK,3,595461,2357
2014-06,QN,4,414811,1912
2014-06,NYC,,553641,2610
2014-05,MN,1,1047882,2945
2014-05,BK,3,589831,2343
2014-05,QN,4,413818,1904
2014-05,NYC,,549609,2599
2014-04,MN,1,1041505,2926
2014-04,BK,3,581125,2326
2014-04,QN,4,412356,1898
2014-04,NYC,,544241,2582
2014-03,MN,1,1034639,2911
2014-03,BK,3,574363,2314
2014-03,QN,4,412593,1886
2014-03,NYC,,542036,2569
2014-02,MN,1,1026597,2903
2014-02,BK,3,572873,2311
2014-02,QN,4,410866,1883
2014-02,NYC,,540748,2563
2014-01,MN,1,1015964,2900
2014-01,BK,3,570677,2305
2014-01,QN,4,409287,1880
2014-01,NYC,,537503,2560
2013-12,MN,1,1009387,2897
2013-12,BK,3,565817,2304
2013-12,QN,4,405156,1876
2013-12,NYC,,533139,2558
2013-11,MN,1,1004360,2903
2013-11,BK,3,567909,2305
2013-11,QN,4,404508,1880
2013-11,NYC,,532824,2563
2013-10,MN,1,994628,2904
2013-10,BK,3,570108,2305
2013-10,QN,4,401839,1885
2013-10,NYC,,532774,2564
2013-09,MN,1,987687,2900
2013-09,BK,3,567636,2296
2013-09,QN,4,400836,1884
2013-09,NYC,,530787,2560
2013-08,MN,1,980391,2891
2013-08,BK,3,561591,2288
2013-08,QN,4,399235,1874
2013-08,NYC,,528398,2552
2013-07,MN,1,971539,2880
2013-07,BK,3,557226,2274
2013-07,QN,4,396081,1863
2013-07,NYC,,524663,2542
2013-06,MN,1,959028,2868
2013-06,BK,3,549304,2254
2013-06,QN,4,394776,1845
2013-06,NYC,,519653,2529
2013-05,MN,1,950699,2856
